"id","procedure_name ","procedure_description ","procedure_duration "
"1","quis","Libero corporis doloribus molestiae. Autem consectetur quaerat cum veritatis incidunt tempora nulla deserunt. Unde maiores iusto explicabo animi quis quibusdam. Reiciendis enim blanditiis eius autem. Veritatis consectetur minus odio dolor possimus dicta optio maiores.","34"
"2","explicabo","Consectetur quae consequatur quaerat eius. Cumque accusantium enim. Inventore dolores aliquam sequi maiores quaerat eligendi sed ex. Sint veniam illum alias.","42"
"3","architecto","Eaque impedit sit saepe nulla labore tempora assumenda eius unde. Vero quae veritatis eos mollitia maxime. Deleniti doloribus tempora quam repudiandae. Laborum aperiam quasi.","47"
"4","eum","Asperiores officiis reprehenderit tempore sit. Libero exercitationem eos exercitationem quam ipsum explicabo provident ipsam amet.","6"
"5","omnis","Recusandae veniam ipsa quaerat at unde reprehenderit. Aut voluptate laboriosam commodi quia. Maxime inventore fugiat dolore vero inventore sapiente saepe voluptas.","17"
"6","impedit","Non autem ex quia sed quibusdam. Numquam fuga distinctio voluptates autem enim. Minima molestias dolorem ducimus illo pariatur soluta exercitationem perspiciatis blanditiis. Earum error quae impedit ex.","56"
"7","perferendis","Iure delectus rem quam ab dolorem recusandae. Dicta doloremque esse minima. Expedita beatae rerum quo quam.","46"
"8","voluptate","Non pariatur praesentium nisi exercitationem aspernatur numquam dicta. Quos corporis perferendis. Maiores beatae dicta laboriosam aspernatur sunt error porro veritatis. Atque est suscipit architecto expedita natus ullam soluta eos voluptatibus. Nam ipsum distinctio saepe odio non incidunt culpa aliquid voluptatem. Vitae tempora magni aut.","24"
"9","voluptatum","Ea alias excepturi aliquid dignissimos totam recusandae velit blanditiis. Doloremque nesciunt commodi. Dolorem perferendis quam doloribus animi ullam consequatur.","54"
"10","laudantium","Doloremque nemo qui temporibus. Earum hic hic ipsum id officia quaerat ipsa magnam.","10"
"11","voluptatum","Magni quidem quia. Rem a id fuga eaque voluptate deleniti cum eaque. Eum rerum doloremque suscipit facilis. Sequi doloribus ipsum vel fuga. Tempore facilis quasi nobis facilis perspiciatis natus. Debitis dolorum iusto eius dolores.","19"
"12","nemo","Laborum dolores illo quas. Accusantium alias labore nesciunt non.","1"
"13","modi","Nam reprehenderit impedit tempore veritatis veritatis cumque. Mollitia eaque perspiciatis laboriosam provident nulla aliquid. Cumque velit voluptate sapiente quia quaerat voluptatem dicta ipsa. Magnam odit aliquam et quos at dolor.","11"
"14","exercitationem","Deleniti minima facilis iure aperiam perspiciatis harum labore. Earum nobis cupiditate nihil debitis qui. Ducimus maiores rerum totam. Necessitatibus perferendis labore et repudiandae magnam enim maxime amet. Voluptatum beatae amet ex quisquam corrupti nobis repellat nesciunt. Beatae quisquam cupiditate.","8"
"15","distinctio","Vitae modi veniam praesentium animi porro qui. Libero praesentium dolor. Nihil id dolores. Aliquid repudiandae assumenda sed libero. Delectus eum deserunt minima quibusdam laboriosam quae labore.","43"
