"id","treatment_name","treatment_type ","treatment_dosage"
"1","aperiam","quae","Fuga veritatis recusandae. Amet ea vitae ipsa dicta dignissimos sunt quo quidem eveniet. Aliquid in dolor eos. Repudiandae sed facere aut natus corrupti inventore officia."
"2","voluptates","dignissimos","Ut officiis laboriosam. Similique voluptates non maiores dolore rem. Eos est necessitatibus modi sunt ut a corrupti beatae. Totam quas pariatur soluta debitis praesentium optio. Dolor quod commodi incidunt dolorum nostrum numquam aperiam. Itaque error totam aliquid alias porro."
"3","iure","eum","Praesentium dignissimos tempora. Sunt nulla qui illum cupiditate iure praesentium. Voluptatum quas beatae provident eos veniam accusantium deserunt eaque. Rerum commodi commodi hic earum distinctio illo ab. Minus voluptatum quae porro error."
"4","autem","ab","Repellendus aliquid ea officia. Sed suscipit delectus dolore harum reiciendis adipisci voluptatem. Voluptatem expedita impedit iste voluptates."
"5","nostrum","quas","Possimus quia quis labore. Excepturi nam tempora. Accusamus fuga aut voluptatum. Fugit excepturi eum. Dicta non ut ipsum perspiciatis voluptatum amet."
"6","illo","quos","Inventore suscipit dicta assumenda corrupti possimus iste. Itaque maxime a delectus sed totam. Totam doloribus natus eos."
"7","praesentium","ab","Sunt nostrum ab ipsum. Aspernatur natus ab culpa cum facilis aliquid repellat quo. Adipisci nulla cupiditate temporibus. Esse porro veritatis corporis."
"8","ad","delectus","Rerum eum asperiores minima exercitationem sequi delectus in sit. Minus maiores ea sequi necessitatibus illum. Totam sint ea nam voluptas rerum."
"9","dicta","ullam","Eveniet est eaque aliquam consequatur laborum ut incidunt voluptatum architecto. Quibusdam consequuntur nulla ab."
"10","in","officia","Dolores omnis porro repellendus exercitationem quae possimus recusandae qui. Dolore ex deserunt aliquam inventore ipsum."
"11","ratione","commodi","Ex magnam deleniti pariatur eius explicabo cum. Iusto tempora fugiat. Ad rerum facere distinctio adipisci enim quas quia tempora. Amet recusandae amet quisquam et repellat. Quasi sunt atque unde explicabo quaerat repellat. Mollitia neque vitae tempore tenetur magni natus consectetur aspernatur."
"12","itaque","repellat","Ipsa voluptatem autem nisi rerum perferendis quisquam reiciendis recusandae itaque. Expedita ea aliquid impedit doloribus exercitationem facilis voluptatibus molestias iusto."
"13","vitae","ea","Eaque non ipsum quas maiores perferendis iusto. Dicta accusamus facilis nesciunt delectus ipsam deleniti. Voluptatibus quia tempore sit. Beatae nam veniam debitis. Nam minima ut autem ad quas deleniti."
"14","consequuntur","nemo","Ipsa consequatur iusto accusamus. Aliquid officiis unde nostrum officia vel reiciendis. Quo beatae ducimus tempore tempora repellendus minima. Hic non quasi sed dicta voluptatibus repellendus alias. Necessitatibus expedita sapiente nostrum maxime magni ipsum beatae ducimus."
"15","illo","unde","Eius nulla voluptatum illum unde explicabo. Eum eum tenetur distinctio vitae sapiente. Doloribus dolore eius iste. Debitis aspernatur esse hic similique et repudiandae."
"16","recusandae","dignissimos","Natus itaque sit atque beatae quam magni facilis. Exercitationem accusamus magni esse animi. Natus sunt blanditiis aspernatur aspernatur laboriosam enim. Optio placeat ea repellat dignissimos quaerat doloremque corporis. Cupiditate illum consectetur asperiores corrupti ducimus."
"17","at","sint","Nemo voluptas alias saepe. Facilis autem cum facilis est fugiat fugit mollitia accusamus quo. Quaerat iure eligendi numquam ea fugiat magni unde. Cumque aspernatur recusandae corporis esse excepturi delectus illum. Quia debitis maxime cum. Mollitia nihil iste libero ipsum nostrum repudiandae."
"18","quidem","recusandae","Repudiandae quas rerum eos tempore debitis ipsam dolorem culpa eos. Officiis cum ut atque voluptates magnam. Explicabo magnam aliquid ipsa. Aspernatur commodi iure exercitationem."
"19","quas","dolore","Fugit asperiores deserunt quas dolorem quisquam vitae tempore ut. Corrupti eligendi iusto. Alias deleniti iste rem perferendis molestiae ad sit aperiam. Repellendus in ipsam. Repudiandae quidem at."
"20","ipsam","quos","Deserunt nostrum illo dolore odio officia vel sit quibusdam. Eligendi iusto laboriosam. Aliquid laboriosam velit eaque excepturi. Similique cum harum placeat odio. Facilis consequatur alias numquam ex voluptate placeat rerum necessitatibus. Sint ipsum doloremque sit accusantium adipisci vitae voluptatem incidunt tempora."
"21","minus","impedit","Illo aperiam ullam esse nihil tempore magnam iste. Veniam vitae maiores. Doloribus ratione distinctio. Aspernatur ipsam earum cumque placeat. Delectus doloribus vel eum quia voluptates a. Atque itaque facere totam sint mollitia laudantium quaerat voluptates."
"22","earum","recusandae","Et ex illo blanditiis recusandae. Consequatur nam necessitatibus pariatur sit modi quae. Blanditiis deleniti voluptatibus sint exercitationem iste facere voluptas nostrum atque."
"23","voluptates","nam","Hic autem corrupti quisquam libero expedita. Sint similique dolores accusantium explicabo a autem facere. Illum porro animi dolorem dolores. Magni inventore accusantium saepe possimus aut ducimus repudiandae ullam."
"24","dolorem","tempora","Magnam sed iure modi. Delectus dignissimos nemo quod est fugit."
"25","quaerat","nisi","Rerum commodi aliquam nihil ipsa incidunt perspiciatis ipsum. Dicta vel porro debitis fugit dolorem earum quam alias minima. Debitis voluptate alias non illo eaque error. Quasi in iusto deleniti ducimus id quod harum voluptates."
